,Itemset,Support
1,['Фасоль'],0.7142857142857143
2,['Кукуруза'],0.5714285714285714
3,['Помидоры'],0.42857142857142855
4,['Капуста'],0.35714285714285715
5,['Кабачки'],0.5
6,['Спаржа'],0.42857142857142855
7,['Перец'],0.35714285714285715
8,"['Кукуруза', 'Перец']",0.21428571428571427
9,"['Капуста', 'Перец']",0.2857142857142857
10,"['Кукуруза', 'Кабачки']",0.21428571428571427
11,"['Кабачки', 'Спаржа']",0.35714285714285715
12,"['Фасоль', 'Помидоры']",0.2857142857142857
13,"['Фасоль', 'Кабачки']",0.42857142857142855
14,"['Фасоль', 'Кукуруза']",0.35714285714285715
15,"['Кукуруза', 'Помидоры']",0.2857142857142857
16,"['Помидоры', 'Перец']",0.21428571428571427
17,"['Фасоль', 'Перец']",0.21428571428571427
18,"['Фасоль', 'Спаржа']",0.35714285714285715
19,"['Фасоль', 'Капуста']",0.21428571428571427
20,"['Фасоль', 'Кукуруза', 'Помидоры']",0.21428571428571427
21,"['Фасоль', 'Кабачки', 'Спаржа']",0.2857142857142857
